N,P,K,Temperature,Rainfall,pH,Humidity,Soil_Type,Agro_Zone,Irrigation,Season,Crop,District
103.0,53.0,75.0,28.8,517.5,7.7,58.2,Regosol,Dry Zone,Irrigated,Yala,Big Onion,Mullaitivu
147.0,49.0,117.0,25.4,603.6,6.2,65.6,Sandy Regosol,Dry Coastal Zone,Irrigated,Yala,Potato,Mullaitivu
45.0,104.0,49.0,26.7,1101.0,5.9,66.6,Clay Soil,Dry Zone,Supplemental,Maha,Winged Bean (Dambala),Kurunegala
125.0,83.9,109.1,28.0,1414.8,5.7,70.2,Clay Loam,Intermediate Zone,Irrigated,Year-round,Tibbatu (Turkey Berry),Puttalam
81.0,44.0,31.0,26.6,826.2,6.2,79.5,Red-Yellow Latosol,Intermediate Zone,Irrigated,Maha,Sunflower,Matara
126.0,47.0,130.0,27.9,751.1,6.3,66.6,Sandy Regosol,Dry Coastal Zone,Irrigated,Maha,Potato,Mannar
80.0,74.7,104.5,20.2,1666.4,6.5,79.4,Silt Loam,Up Country Wet Zone,Irrigated,Maha,Cauliflower (Gowa),Nuwara Eliya
114.0,79.0,84.0,28.4,770.0,6.3,70.0,Sandy Loam,Dry Zone,Irrigated,Yala,Sweet Corn,Jaffna
122.6,62.8,85.8,23.1,792.9,6.74,76.1,Reddish-Brown Earth,Intermediate Zone,Irrigated,Yala,Tomato,Kandy
184.0,116.0,114.0,28.0,1867.1,6.04,80.1,Loam,Low Country Wet Zone,Irrigated,Yala,Kiri Ala,Ratnapura
177.1,108.2,131.2,22.7,1424.6,5.85,74.1,Red-Yellow Podzolic,Mid Country Wet Zone,Rainfed,Maha,Kohlrabi (Nokol),Kandy
93.0,37.0,147.0,27.1,1647.6,6.1,76.7,Sandy Loam,Low Country Wet Zone,Rainfed,Yala,Innala,Gampaha
104.7,93.2,123.3,26.5,1514.4,6.18,75.1,Red-Yellow Podzolic,Low Country Intermediate Zone,Irrigated,Year-round,Bitter Gourd,Kurunegala
103.2,64.7,93.4,32.4,623.8,7.3,60.3,Reddish-Brown Earth,Dry Zone,Irrigated,Yala,Okra,Trincomalee
111.1,65.9,96.2,27.2,1395.2,5.57,76.7,Light Loam,Mid Country Intermediate Zone,Irrigated,Maha,Elabatu (Thai Eggplant),Kandy
73.7,45.8,95.2,28.4,540.5,6.12,55.5,Alluvial Loam,Dry Zone,Rainfed,Yala,Capsicum,Jaffna
139.0,132.0,104.7,27.4,1550.3,6.0,72.8,Sandy Loam,Low Country Wet Zone,Irrigated,Yala,Kiri Ala,Galle
108.8,82.9,91.1,23.4,1609.4,7.11,72.9,Clay Loam,Low Country Wet Zone,Irrigated,Yala,Bitter Gourd,Ratnapura
118.0,50.8,82.0,31.5,959.4,6.6,64.8,Regosol,Dry Zone,Supplemental,Maha,Okra,Monaragala
135.6,77.1,141.4,20.6,1009.6,6.49,74.0,Sandy Loam,Up Country Intermediate Zone,Rainfed,Yala,Cauliflower (Gowa),Matale
178.8,55.0,108.7,19.9,2024.3,6.08,84.6,Clay Loam,Mid Country Wet Zone,Rainfed,Maha,Cauliflower (Gowa),Ratnapura
134.1,48.4,50.8,30.2,1281.4,6.7,74.3,Reddish-Brown Earth,Intermediate Zone,Rainfed,Yala,Chilli,Matara
147.5,57.0,97.2,24.5,2241.5,5.81,83.4,Light Loam,Mid Country Wet Zone,Rainfed,Maha,Elabatu (Thai Eggplant),Kandy
98.3,54.0,55.0,26.8,1089.8,6.11,82.9,Alluvial Loam,Intermediate Zone,Irrigated,Maha,Capsicum,Matale
172.0,130.0,110.0,30.1,1310.2,5.77,68.9,Loam,Dry Zone,Supplemental,Maha,Kiri Ala,Kilinochchi
87.9,82.1,83.1,27.6,918.8,6.5,71.0,Loam,Intermediate Zone,Supplemental,Yala,Tibbatu (Turkey Berry),Matale
45.5,42.4,32.9,28.4,785.5,6.35,69.0,Alluvial,Dry Zone,Rainfed,Maha,Soybean,Kurunegala
53.0,102.0,44.0,26.3,2595.0,6.7,90.0,Loam,Low Country Wet Zone,Rainfed,Maha,Winged Bean (Dambala),Galle
107.1,47.6,30.0,32.2,713.8,6.0,60.8,Red-Yellow Podzolic,Dry Zone,Rainfed,Yala,Chilli,Kilinochchi
65.0,55.0,63.0,29.0,432.2,6.6,70.8,Loam,Dry Zone,Irrigated,Yala,Pumpkin,Ampara
109.5,88.6,102.8,34.2,810.4,6.3,56.9,Reddish-Brown Earth,Dry Zone,Irrigated,Maha,Tibbatu (Turkey Berry),Trincomalee
61.0,63.0,65.0,32.1,503.9,7.0,55.7,Regosol,Dry Zone,Irrigated,Yala,Big Onion,Mullaitivu
87.0,92.0,61.0,30.3,376.7,7.5,61.8,Alluvial,Dry Zone,Irrigated,Yala,Big Onion,Hambantota
129.0,95.0,110.0,25.7,794.6,5.8,75.5,Sandy Loam,Intermediate Zone,Irrigated,Yala,Sweet Corn,Matara
130.8,104.5,122.7,27.4,1192.1,6.7,74.0,Sandy Loam,Intermediate Zone,Irrigated,Yala,Tibbatu (Turkey Berry),Badulla
70.0,38.0,85.0,26.3,1112.7,6.1,75.5,Red Loam,Dry Zone,Irrigated,Maha,Red Onion,Ampara
99.0,72.0,75.0,28.5,800.5,6.4,65.3,Sandy Loam,Dry Zone,Rainfed,Yala,Sweet Corn,Mullaitivu
43.0,108.0,43.0,28.5,666.0,6.5,61.5,Loam,Dry Zone,Irrigated,Yala,Winged Bean (Dambala),Kilinochchi
119.2,47.4,71.5,31.1,1332.3,6.0,69.0,Clay Loam,Dry Zone,Irrigated,Maha,Chilli,Trincomalee
45.0,53.0,46.0,31.1,417.8,6.1,53.3,Loamy Sand,Low Country Dry Zone,Irrigated,Yala,Mung Bean,Batticaloa
42.0,55.0,76.0,20.1,924.0,6.9,58.5,Sandy Loam,Eastern Dry Zone,Rainfed,Maha,Pigeon Pea,Trincomalee
153.0,58.0,176.0,29.4,2182.8,6.7,91.0,Loam,Low Country Wet Zone,Supplemental,Year-round,Luffa,Kalutara
115.9,61.3,82.0,27.5,2831.5,6.3,81.2,Clay Loam,Low Country Wet Zone,Rainfed,Maha,Chilli,Colombo
95.2,46.2,119.1,16.9,1274.9,7.3,71.2,Reddish-Brown Earth,Up Country Intermediate Zone,Irrigated,Year-round,Beetroot,Badulla
87.0,44.0,33.0,23.2,587.5,7.4,65.2,Reddish-Brown Earth,Intermediate Zone,Rainfed,Maha,Sunflower,Matara
25.0,43.0,68.0,25.8,690.2,7.2,62.7,Sandy Loam,Intermediate Zone,Rainfed,Maha,Mung Bean,Puttalam
127.5,108.4,152.1,20.1,1211.1,5.73,79.1,Clay Loam,Mid Country Wet Zone,Irrigated,Year-round,Kohlrabi (Nokol),Kegalle
130.5,69.4,85.5,28.0,1232.1,5.39,66.2,Reddish-Brown Earth,Low Country Intermediate Zone,Irrigated,Yala,Elabatu (Thai Eggplant),Monaragala
150.0,112.0,90.9,32.4,1299.4,6.26,65.8,Alluvial,Dry Zone,Irrigated,Year-round,Kiri Ala,Kurunegala
85.3,59.8,123.4,28.8,627.7,6.51,72.3,Loam,Low Country Dry Zone,Irrigated,Yala,Cauliflower (Gowa),Batticaloa
103.7,41.0,129.2,23.8,2086.5,6.9,91.9,Clay Loam,Mid Country Wet Zone,Irrigated,Yala,Beetroot,Kandy
108.6,47.8,92.9,29.6,917.0,5.99,71.4,Loam,Intermediate Zone,Supplemental,Yala,Capsicum,Matara
158.0,126.0,110.0,28.5,1430.6,6.23,71.9,Clay Loam,Intermediate Zone,Irrigated,Maha,Kiri Ala,Puttalam
18.0,44.0,48.0,25.6,713.5,8.2,60.9,Reddish-Brown Earth,Eastern Dry Zone,Rainfed,Maha,Pigeon Pea,Ampara
89.7,42.4,96.9,28.1,743.3,6.25,71.3,Loam,Intermediate Zone,Rainfed,Yala,Capsicum,Kandy
165.0,74.0,109.0,19.3,1437.1,5.3,76.3,Sandy Loam,Up Country Intermediate Zone,Irrigated,Yala,Leeks,Matale
28.0,57.0,40.0,23.7,606.6,7.7,63.0,Alluvial,Dry Zone,Rainfed,Yala,Pigeon Pea,Monaragala
127.8,93.6,120.3,27.5,1092.2,6.53,80.5,Reddish-Brown Earth,Low Country Intermediate Zone,Supplemental,Year-round,Bitter Gourd,Kurunegala
136.7,50.0,52.2,24.6,931.7,5.7,73.5,Red-Yellow Podzolic,Intermediate Zone,Irrigated,Yala,Chilli,Badulla
148.9,57.2,110.0,18.6,1733.0,6.27,92.4,Mountain Regosol,Up Country Wet Zone,Rainfed,Maha,Cabbage,Badulla
120.0,47.0,110.0,25.9,1125.9,7.1,77.0,Sandy Loam,Low Country Intermediate Zone,Supplemental,Maha,Luffa,Matale
166.9,68.3,124.5,14.4,844.0,6.24,69.0,Mountain Regosol,Up Country Wet Zone,Supplemental,Yala,Cabbage,Nuwara Eliya
102.3,48.7,172.4,20.3,1278.0,6.9,72.5,Sandy Loam,Mid Country Intermediate Zone,Irrigated,Maha,Beetroot,Badulla
75.0,55.0,81.0,25.6,877.4,7.1,70.9,Red-Brown Earth,Dry Zone,Irrigated,Maha,Big Onion,Jaffna
87.2,96.2,78.8,26.8,1575.2,6.2,83.4,Loam,Low Country Wet Zone,Irrigated,Yala,Tomato,Colombo
97.0,63.0,102.0,28.7,1352.4,6.0,83.5,Loam,Low Country Intermediate Zone,Irrigated,Yala,Luffa,Puttalam
73.1,89.0,96.2,31.7,923.1,6.1,67.2,Loam,Dry Zone,Supplemental,Yala,Tibbatu (Turkey Berry),Vavuniya
142.0,77.0,69.0,28.1,776.4,5.8,60.0,Sandy Loam,Dry Zone,Irrigated,Yala,Sweet Corn,Matale
78.0,49.0,32.0,25.8,520.7,6.2,52.2,Sandy Loam,Dry Zone,Irrigated,Maha,Sorghum,Polonnaruwa
137.0,42.0,65.0,25.3,1159.6,6.3,71.7,Alluvial,Intermediate Zone,Rainfed,Maha,Maize,Matale
37.0,82.0,47.0,32.0,1329.0,6.4,79.0,Clay Loam,Intermediate Zone,Supplemental,Yala,Winged Bean (Dambala),Nuwara Eliya
113.1,65.2,73.3,28.0,1670.0,5.53,82.3,Loam,Mid Country Intermediate Zone,Irrigated,Yala,Elabatu (Thai Eggplant),Matale
131.5,53.4,79.4,29.0,1515.0,5.92,69.2,Red-Yellow Podzolic,Low Country Intermediate Zone,Rainfed,Maha,Elabatu (Thai Eggplant),Monaragala
142.4,76.9,94.4,25.7,1166.0,7.0,65.4,Alluvial,Intermediate Zone,Irrigated,Yala,Tibbatu (Turkey Berry),Matara
168.7,112.0,129.8,19.1,1737.9,5.13,75.7,Organic-Rich Loam,Up Country Wet Zone,Rainfed,Maha,Kohlrabi (Nokol),Nuwara Eliya
118.3,56.7,79.9,26.7,473.5,6.21,64.1,Reddish-Brown Earth,Dry Zone,Irrigated,Yala,Capsicum,Kilinochchi
167.0,98.0,115.0,18.4,1366.8,5.5,80.7,Clay Loam,Up Country Intermediate Zone,Irrigated,Maha,Leeks,Nuwara Eliya
84.0,33.0,56.0,30.4,482.5,6.9,71.8,Sandy Loam,Dry Zone,Irrigated,Yala,Pumpkin,Polonnaruwa
79.0,39.0,98.0,25.3,1162.7,5.87,73.5,Reddish-Brown Earth,Intermediate Zone,Irrigated,Maha,Brinjal (Eggplant),Badulla
25.0,42.0,42.0,29.6,375.6,6.2,59.5,Reddish-Brown Earth,Low Country Dry Zone,Supplemental,Yala,Mung Bean,Polonnaruwa
132.0,76.5,144.8,22.9,2034.4,6.43,87.4,Silt Loam,Mid Country Wet Zone,Irrigated,Yala,Cauliflower (Gowa),Ratnapura
91.3,108.3,94.2,31.0,1263.7,6.59,69.8,Red-Yellow Podzolic,Low Country Dry Zone,Irrigated,Maha,Bitter Gourd,Anuradhapura
148.0,130.0,114.9,29.6,1498.2,5.52,69.9,Loam,Intermediate Zone,Irrigated,Maha,Kiri Ala,Matale
95.0,82.0,57.0,30.3,647.9,7.0,66.3,Red-Brown Earth,Dry Zone,Irrigated,Yala,Big Onion,Puttalam
36.0,86.0,38.0,18.0,1384.0,6.3,75.7,Loam,Up Country Intermediate Zone,Irrigated,Yala,Winged Bean (Dambala),Badulla
86.0,61.0,56.0,25.4,1623.5,6.4,69.5,Sandy Loam,Up Country Intermediate Zone,Irrigated,Yala,Red Onion,Matale
120.0,54.0,87.0,29.8,870.3,7.5,73.9,Reddish-Brown Earth,Dry Zone,Supplemental,Maha,Radish,Puttalam
136.5,55.0,88.1,25.9,1677.5,5.67,74.5,Sandy Loam,Mid Country Intermediate Zone,Rainfed,Maha,Elabatu (Thai Eggplant),Badulla
118.3,49.9,72.6,32.5,899.3,6.1,59.5,Sandy Loam,Dry Zone,Supplemental,Maha,Tibbatu (Turkey Berry),Hambantota
55.0,44.0,100.0,27.5,1238.7,6.6,77.1,Clay Loam,Northern Dry Zone,Rainfed,Yala,Red Onion,Jaffna
45.0,35.0,77.0,23.1,753.3,7.5,69.7,Reddish-Brown Earth,Intermediate Zone,Rainfed,Maha,Pigeon Pea,Kurunegala
108.0,85.0,79.0,24.2,1948.3,6.6,82.9,Immature Brown Loam,Low Country Wet Zone,Irrigated,Yala,Radish,Matara
133.0,61.0,136.0,18.7,1611.0,5.7,84.1,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Maha,Potato,Badulla
131.0,39.0,148.0,18.2,1684.4,5.8,77.6,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Yala,Potato,Badulla
173.1,101.6,127.7,22.8,662.9,5.31,81.3,Clay Loam,Mid Country Intermediate Zone,Irrigated,Yala,Kohlrabi (Nokol),Badulla
75.0,37.0,129.0,25.1,1466.0,5.7,74.0,Red-Yellow Podzolic,Intermediate Zone,Supplemental,Yala,Cassava,Nuwara Eliya
105.0,75.0,129.0,28.7,1949.6,5.6,75.5,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Yala,Luffa,Kalutara
149.2,85.7,100.9,23.9,1589.3,6.89,77.8,Alluvial,Low Country Wet Zone,Rainfed,Yala,Tomato,Ratnapura
159.0,53.0,139.0,17.4,1872.6,5.8,78.4,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Maha,Potato,Nuwara Eliya
91.0,56.0,139.0,27.6,2500.0,5.0,83.2,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Maha,Innala,Gampaha
67.0,60.0,42.0,27.1,700.5,7.1,66.0,Clay Loam,Intermediate Zone,Irrigated,Maha,Sorghum,Badulla
153.8,62.4,118.7,22.5,1111.3,5.86,91.8,Alluvial,Low Country Wet Zone,Rainfed,Maha,Cabbage,Galle
127.0,41.0,186.0,26.7,1668.0,7.1,80.0,Sandy Loam,Low Country Intermediate Zone,Supplemental,Maha,Luffa,Matara
81.0,86.0,117.0,30.9,690.1,6.2,67.3,Regosol,Dry Zone,Irrigated,Year-round,Carrot,Trincomalee
156.5,41.5,122.9,14.5,855.4,6.74,79.6,Immature Brown Loam,Up Country Wet Zone,Supplemental,Yala,Cabbage,Nuwara Eliya
121.4,40.9,36.1,28.2,1075.2,6.7,68.8,Loam,Dry Zone,Irrigated,Maha,Chilli,Trincomalee
69.0,79.0,62.0,29.8,443.5,6.8,65.4,Loam,Dry Zone,Supplemental,Yala,Pumpkin,Batticaloa
134.3,55.8,102.8,28.7,1370.6,5.47,78.8,Reddish-Brown Earth,Low Country Intermediate Zone,Irrigated,Maha,Elabatu (Thai Eggplant),Monaragala
189.9,102.4,96.4,21.5,1553.9,5.11,81.5,Organic-Rich Loam,Up Country Wet Zone,Irrigated,Maha,Kohlrabi (Nokol),Badulla
100.4,39.4,62.9,28.0,896.5,5.3,73.8,Red-Yellow Podzolic,Dry Zone,Rainfed,Yala,Chilli,Puttalam
147.0,56.0,121.0,21.0,1307.8,6.3,71.9,Reddish-Brown Earth,Up Country Intermediate Zone,Irrigated,Yala,Potato,Badulla
64.0,42.0,160.0,27.1,1468.0,5.7,86.0,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Maha,Cassava,Gampaha
84.0,88.0,106.0,29.2,53.0,6.1,69.0,Red-Brown Earth,Dry Zone,Supplemental,Yala,Pathola (Snake Gourd),Vavuniya
94.8,34.9,51.8,33.1,1203.5,6.0,66.9,Red-Yellow Podzolic,Dry Zone,Irrigated,Maha,Chilli,Vavuniya
41.6,44.2,43.4,28.0,481.1,6.31,58.6,Non-Calcic Brown Earth,Mahaweli H Zone,Rainfed,Yala,Soybean,Polonnaruwa
198.4,131.7,135.8,20.5,1476.7,5.4,83.3,Organic-Rich Loam,Up Country Wet Zone,Rainfed,Maha,Kohlrabi (Nokol),Badulla
101.0,95.0,90.0,28.6,104.0,7.3,65.0,Loam,Intermediate Zone,Irrigated,Yala,Pathola (Snake Gourd),Nuwara Eliya
141.2,59.1,145.1,18.8,788.7,6.42,62.2,Immature Brown Loam,Up Country Wet Zone,Irrigated,Yala,Cabbage,Badulla
91.0,93.0,82.0,25.2,2990.2,6.9,82.3,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Year-round,Radish,Matara
57.0,30.9,53.0,26.7,1439.6,6.1,73.4,Sandy Loam,Low Country Wet Zone,Irrigated,Maha,Cowpea,Galle
102.8,44.1,67.1,31.7,1045.0,6.5,67.2,Deep Sandy Loam,Dry Zone,Rainfed,Maha,Chilli,Puttalam
132.0,59.0,153.0,17.5,1659.6,5.8,82.4,Red-Yellow Podzolic,Up Country Wet Zone,Rainfed,Maha,Potato,Badulla
117.0,92.0,88.0,27.3,171.0,6.6,68.0,Clay Loam,Low Country Wet Zone,Irrigated,Year-round,Pathola (Snake Gourd),Gampaha
127.0,48.0,57.0,29.0,500.0,5.1,66.6,Red Loam,Dry Zone,Supplemental,Yala,Kurakkan,Batticaloa
173.0,57.0,130.0,20.3,1679.9,5.3,75.2,Loam,Mid Country Wet Zone,Irrigated,Yala,Leeks,Kandy
110.0,69.5,122.5,31.2,1388.4,6.25,87.2,Non-Calcic Brown Earth,Dry Zone,Rainfed,Maha,Cabbage,Anuradhapura
80.0,100.0,124.0,33.0,442.7,7.5,63.4,Red-Brown Earth,Dry Zone,Irrigated,Yala,Big Onion,Ampara
123.5,52.1,72.8,25.2,2443.6,5.83,89.7,Sandy Loam,Mid Country Wet Zone,Rainfed,Maha,Elabatu (Thai Eggplant),Kandy
71.0,32.0,62.0,28.7,872.6,6.2,79.4,Red-Brown Earth,Intermediate Zone,Rainfed,Yala,Pumpkin,Matara
92.0,43.0,69.0,30.1,445.7,7.3,57.3,Reddish-Brown Latosol,Dry Zone,Irrigated,Yala,Big Onion,Polonnaruwa
174.0,76.0,150.0,18.4,1243.4,5.8,66.2,Sandy Loam,Up Country Intermediate Zone,Irrigated,Yala,Leeks,Nuwara Eliya
56.0,32.0,101.0,26.4,1677.4,5.7,73.7,Sandy Loam,Intermediate Zone,Rainfed,Maha,Innala,Matara
37.9,46.2,54.6,29.8,610.3,6.5,54.7,Reddish-Brown Earth,Mahaweli H Zone,Supplemental,Yala,Soybean,Matale
123.3,66.3,80.6,29.0,634.4,6.0,64.8,Regosol,Dry Zone,Irrigated,Yala,Okra,Anuradhapura
67.0,37.0,30.0,28.8,536.7,6.5,67.6,Red-Yellow Latosol,Intermediate Zone,Irrigated,Yala,Sunflower,Puttalam
24.0,45.0,45.0,31.9,555.6,7.1,56.7,Sandy Loam,Dry Zone,Irrigated,Yala,Mung Bean,Trincomalee
126.2,62.4,88.1,26.6,2320.8,5.83,82.9,Light Loam,Mid Country Wet Zone,Irrigated,Yala,Elabatu (Thai Eggplant),Kegalle
127.3,40.1,63.6,29.8,1117.6,6.8,67.3,Alluvial,Dry Zone,Supplemental,Maha,Okra,Trincomalee
53.0,30.0,105.0,26.8,1151.0,5.1,75.0,Reddish-Brown Earth,Intermediate Zone,Rainfed,Maha,Cassava,Nuwara Eliya
108.0,51.0,86.0,25.4,1112.5,6.9,73.7,Loamy Sand,Up Country Intermediate Zone,Rainfed,Maha,Red Onion,Matale
72.0,39.0,135.0,26.1,1478.0,5.2,67.0,Reddish-Brown Earth,Intermediate Zone,Supplemental,Maha,Cassava,Puttalam
38.5,47.7,52.2,27.5,820.4,6.19,67.9,Alluvial,Low Country Dry Zone,Supplemental,Maha,Soybean,Monaragala
153.7,66.0,83.1,24.0,2534.5,5.49,85.4,Light Loam,Mid Country Wet Zone,Irrigated,Maha,Elabatu (Thai Eggplant),Kandy
131.9,55.9,97.9,28.4,842.6,5.88,73.3,Reddish-Brown Earth,Intermediate Zone,Irrigated,Year-round,Capsicum,Badulla
112.0,93.0,90.0,26.6,821.8,6.13,70.0,Sandy Loam,Dry Zone,Irrigated,Maha,Maize,Matale
39.0,28.0,121.0,27.0,1042.0,5.3,76.0,Sandy Loam,Intermediate Zone,Rainfed,Maha,Cassava,Monaragala
204.0,86.0,143.0,17.9,1507.8,5.7,79.0,Loam,Up Country Wet Zone,Irrigated,Yala,Leeks,Nuwara Eliya
82.0,53.0,40.0,29.0,725.7,6.5,74.4,Sandy Loam,Intermediate Zone,Rainfed,Maha,Sunflower,Badulla
87.0,87.0,31.0,29.6,1189.5,6.0,76.2,Alluvial,Intermediate Zone,Rainfed,Yala,Maize,Kandy
177.8,91.9,117.1,23.2,1506.8,5.19,71.1,Organic-Rich Loam,Mid Country Wet Zone,Rainfed,Maha,Kohlrabi (Nokol),Kandy
102.0,61.0,87.0,32.5,842.5,6.5,61.5,Red Loam,Northern Dry Zone,Irrigated,Maha,Red Onion,Vavuniya
71.0,39.0,146.0,26.2,927.0,6.0,59.0,Reddish-Brown Earth,Dry Zone,Supplemental,Maha,Cassava,Batticaloa
73.0,40.0,101.0,29.8,1299.3,5.74,66.8,Reddish-Brown Earth,Intermediate Zone,Irrigated,Yala,Brinjal (Eggplant),Badulla
83.0,79.0,133.0,29.1,1930.9,5.6,80.8,Bog and Half-Bog Soil,Low Country Wet Zone,Supplemental,Yala,Carrot,Ratnapura
152.0,84.0,60.0,31.7,766.7,6.08,63.1,Sandy Loam,Dry Zone,Irrigated,Yala,Maize,Batticaloa
205.0,81.0,148.0,22.3,1260.8,5.8,88.7,Sandy Loam,Mid Country Wet Zone,Irrigated,Yala,Leeks,Kegalle
155.0,65.0,106.0,22.1,1386.0,6.2,77.2,Reddish-Brown Earth,Up Country Intermediate Zone,Irrigated,Yala,Potato,Nuwara Eliya
95.0,64.0,132.0,23.7,1159.0,7.0,82.9,Reddish-Brown Earth,Intermediate Zone,Supplemental,Maha,Carrot,Badulla
131.3,40.1,109.9,29.1,997.1,6.59,85.9,Red-Yellow Podzolic,Intermediate Zone,Irrigated,Maha,Capsicum,Kurunegala
126.2,44.7,70.5,27.4,987.6,6.33,73.2,Alluvial Loam,Dry Zone,Rainfed,Maha,Capsicum,Monaragala
173.4,70.8,85.9,23.5,430.0,6.59,54.0,Reddish-Brown Earth,Intermediate Zone,Irrigated,Yala,Cabbage,Puttalam
69.0,85.0,83.0,24.1,1485.6,6.1,81.9,Clay Loam,Intermediate Zone,Irrigated,Maha,Red Onion,Matara
65.0,35.0,73.0,23.8,871.4,5.7,76.7,Red Loam,Intermediate Zone,Rainfed,Maha,Kurakkan,Kurunegala
98.0,68.0,92.0,22.8,1418.1,7.1,75.2,Alluvial,Up Country Wet Zone,Supplemental,Year-round,Radish,Nuwara Eliya
46.0,67.0,49.0,20.5,1255.0,6.7,64.4,Clay Loam,Up Country Intermediate Zone,Rainfed,Maha,Winged Bean (Dambala),Nuwara Eliya
74.0,49.0,25.0,30.7,512.2,6.6,53.1,Non-Calcic Brown Earth,Dry Zone,Rainfed,Yala,Sunflower,Batticaloa
33.0,65.0,40.0,24.1,306.3,6.5,72.9,Non-Calcic Brown Earth,Intermediate Zone,Rainfed,Yala,Pigeon Pea,Puttalam
60.0,45.0,33.0,27.3,453.3,7.0,78.1,Clay Loam,Intermediate Zone,Irrigated,Maha,Sorghum,Kandy
102.0,37.0,142.0,30.4,929.2,6.0,79.3,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Year-round,Innala,Puttalam
116.0,36.0,170.0,27.5,2456.4,6.0,80.2,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Maha,Innala,Kalutara
145.0,46.0,112.0,29.1,2596.0,6.6,76.8,Sandy Loam,Low Country Wet Zone,Irrigated,Yala,Luffa,Gampaha
93.0,54.0,102.0,32.7,663.2,6.11,59.4,Reddish-Brown Earth,Dry Zone,Rainfed,Yala,Brinjal (Eggplant),Kurunegala
129.3,99.4,125.2,25.8,556.2,6.18,58.4,Non-Calcic Brown Earth,Dry Zone,Irrigated,Yala,Tomato,Puttalam
27.0,42.0,54.0,25.4,966.6,6.3,66.2,Non-Calcic Brown Earth,Intermediate Zone,Supplemental,Maha,Mung Bean,Kandy
102.0,68.0,122.0,28.2,579.0,7.7,51.7,Regosol,Intermediate Zone,Irrigated,Yala,Big Onion,Kurunegala
127.0,138.0,119.3,27.8,1704.9,6.17,86.7,Red-Yellow Podzolic,Low Country Wet Zone,Supplemental,Year-round,Kiri Ala,Gampaha
81.0,109.0,91.0,27.2,597.7,6.9,70.0,Regosol,Dry Zone,Irrigated,Maha,Big Onion,Matale
115.0,69.0,74.0,27.7,478.5,5.5,76.2,Sandy Loam,Dry Zone,Supplemental,Yala,Pumpkin,Trincomalee
39.3,49.9,46.1,29.4,655.1,6.32,54.1,Red-Yellow Latosol,Dry Zone,Supplemental,Yala,Soybean,Monaragala
166.0,137.0,110.9,29.5,1727.2,5.79,72.3,Loam,Intermediate Zone,Irrigated,Maha,Kiri Ala,Matara
117.0,66.0,101.0,25.8,1000.0,6.0,79.3,Loam,Intermediate Zone,Irrigated,Yala,Sweet Corn,Nuwara Eliya
171.3,70.6,66.1,21.3,912.4,6.77,82.2,Clay Loam,Up Country Intermediate Zone,Irrigated,Yala,Cauliflower (Gowa),Nuwara Eliya
101.0,42.0,56.0,27.9,575.2,6.6,61.4,Fertile Loam,Dry Zone,Irrigated,Yala,Kurakkan,Ampara
94.9,83.1,114.4,27.7,1852.2,7.0,76.5,Reddish-Brown Earth,Mid Country Wet Zone,Supplemental,Maha,Bitter Gourd,Kegalle
57.0,49.0,33.0,29.6,604.2,6.3,71.0,Non-Calcic Brown Earth,Intermediate Zone,Irrigated,Maha,Sorghum,Kandy
53.0,79.0,47.0,27.1,755.7,6.2,68.5,Red-Brown Earth,Intermediate Zone,Rainfed,Yala,Pumpkin,Monaragala
60.0,73.0,58.0,29.0,1114.3,6.4,65.3,Clay Loam,Northern Dry Zone,Irrigated,Yala,Red Onion,Kilinochchi
47.0,34.0,111.0,25.7,1449.0,5.7,70.0,Reddish-Brown Earth,Intermediate Zone,Supplemental,Maha,Cassava,Monaragala
45.0,83.0,57.0,30.6,1169.0,7.2,56.2,Sandy Loam,Dry Zone,Supplemental,Maha,Winged Bean (Dambala),Anuradhapura
118.6,54.1,88.4,33.8,716.7,6.0,59.0,Regosol,Dry Zone,Supplemental,Yala,Okra,Vavuniya
126.8,60.8,147.1,23.6,1371.4,6.1,74.4,Sandy Loam,Low Country Intermediate Zone,Irrigated,Maha,Cauliflower (Gowa),Monaragala
125.0,64.2,70.2,27.5,2700.0,5.44,87.0,Sandy Loam,Low Country Wet Zone,Irrigated,Maha,Elabatu (Thai Eggplant),Matara
91.4,46.9,104.2,19.1,1416.6,6.4,84.5,Clay Loam,Mid Country Wet Zone,Irrigated,Yala,Beetroot,Kandy
213.6,125.3,120.2,20.9,1052.7,5.56,90.6,Organic-Rich Loam,Up Country Wet Zone,Rainfed,Yala,Kohlrabi (Nokol),Nuwara Eliya
121.5,43.7,80.5,33.9,550.0,6.5,69.2,Loam,Dry Zone,Irrigated,Yala,Chilli,Matale
103.0,62.0,70.0,27.5,592.5,6.8,52.8,Regosol,Dry Zone,Rainfed,Yala,Radish,Ampara
